Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_002_Lab02,Chrome 85.0.4183.121,,,2020-10-12 00:48:51,2020-10-12 00:49:31,40.284s,PASSED
,,,,,,,
Test Cases/TC_003_LoginPassNull,Chrome 85.0.4183.121,,,2020-10-12 00:48:51,2020-10-12 00:49:00,8.362s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-10-12 00:48:52,2020-10-12 00:48:53,1.760s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-10-12 00:48:53,2020-10-12 00:48:56,2.772s,PASSED
"click(findTestObject(""Object Repository/TC_003/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-10-12 00:48:56,2020-10-12 00:48:57,0.923s,PASSED
"setText(findTestObject(""Object Repository/TC_003/Page_CURA Healthcare Service/input_Username_username""), user)",Chrome 85.0.4183.121,,,2020-10-12 00:48:57,2020-10-12 00:48:58,0.686s,PASSED
"click(findTestObject(""Object Repository/TC_003/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.121,,,2020-10-12 00:48:58,2020-10-12 00:48:59,0.974s,PASSED
"waitForElementPresent(findTestObject(""TC_003/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 30)",Chrome 85.0.4183.121,,,2020-10-12 00:48:59,2020-10-12 00:48:59,0.489s,PASSED
"verifyElementText(findTestObject(""Object Repository/TC_003/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), ""Login failed! Please ensure the username and password are valid."")",Chrome 85.0.4183.121,,,2020-10-12 00:48:59,2020-10-12 00:49:00,0.315s,PASSED
closeBrowser(),Chrome 85.0.4183.121,,,2020-10-12 00:49:00,2020-10-12 00:49:00,0.096s,PASSED
,,,,,,,
Test Cases/TC_005_LoginUserPassFail,Chrome 85.0.4183.121,,,2020-10-12 00:49:00,2020-10-12 00:49:09,9.463s,PASSED
"openBrowser("""")",Chrome 85.0.4183.121,,,2020-10-12 00:49:00,2020-10-12 00:49:00,0.595s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.121,,,2020-10-12 00:49:00,2020-10-12 00:49:05,4.566s,PASSED
"click(findTestObject(""Object Repository/TC_005/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.121,,,2020-10-12 00:49:05,2020-10-12 00:49:06,0.847s,PASSED
"setText(findTestObject(""Object Repository/TC_005/Page_CURA Healthcare Service/input_Username_username""), userfail)",Chrome 85.0.4183.121,,,2020-10-12 00:49:06,2020-10-12 00:49:07,0.787s,PASSED
"setText(findTestObject(""Object Repository/TC_005/Page_CURA Healthcare Service/input_Password_password""), passfail)",Chrome 85.0.4183.121,,,2020-10-12 00:49:07,2020-10-12 00:49:07,0.650s,PASSED
